item_name,item_detail,color,images,release_date,original_price,size,description,ingredients,store_exclusive,limited_edition,discontinued,item_category
G Pal Sweatshirt,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/gpal_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/gpal_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/gpal_3.jpg~,12/2/2020,40,,"We’re bringing back *THE* feel-good sweatshirt.
What it is: We’re bringing back our limited-edition G Pal Sweatshirt. First released as part of our Holiday 2020 season, this might be the best sweatshirt we’ve ever made: it’s warm and cozy, in a refreshing Licorice Red hue with a super-soft fleecy inside.",Materials: 80% Cotton / 20% Polyester,FALSE,TRUE,FALSE,3
The Beauty Bag,,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Beauty-Bag_1_2000x.jpg?v=1656604705~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Beauty-Bag_3_2000x.jpg?v=1656604705~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/Beauty-Bag_4_2000x.jpg?v=1656604705~,3/4/2021,35,9.5” x 7” x 3”,"Fits the whole shebang.
What it is: The ultimate home for your routine. Tall enough to fit all of the essentials (standing up!), but still slip easily into your tote; made out of coated cotton, so you won't worry about splashing water on it; and with enough pockets to actually help you stay organized. Removable interior pouch, soft zip handles, tall enough for bottles to stand upright","Exterior: Cotton, Interior: Polyester and Rayon",FALSE,FALSE,FALSE,3
Glossier Sweatshirt,,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/GL-SHOPGRID-sweatshirt_2000x.jpg?v=1656604705~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/01_Glossier_Sweatshirt_5_2000x.jpg?v=1676655539~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/02_GlossierSweatshirt_2000x.jpg?v=1676655539~,4/25/2016,40,,"Here by popular demand.
What it is: We originally made these for team Glossier because our offices can get pretty chilly. Then everyone started asking for them so, we made more. Classic crewneck, raglan sleeves, with that super soft, plush fleece inside—it feels like something you’ve had forever. Now we can all match!",,FALSE,FALSE,FALSE,3
Original Pink Hoodie,,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/01-Pink-Hoodie_Update_2000x.jpg?v=1656604704~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/03-Pink-Hoodie_ThasifaChowdhury_Update_2000x.jpg?v=1656604704~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/02-Pink-Hoodie_JulieFagerholt_Update_2000x.jpg?v=1656604704~,9/9/2019,55,,"permanent collection
What it is: Plush hoodie with a kitten-soft fleecy inside, metal-tipped drawstrings, and an open-front pocket pouch. Pink with signature Glossier logo. Smile Wave motif on the back.

Our Hoodies are designed for a comfy fit, meaning they run generous and long—we’d recommend taking your true size (and click our Size Guide if you want to double-check).

Care Instructions: Machine wash cold with like colors, normal cycle only, do not bleach. Tumble dry low, do not iron design.",Materials: 70% cotton; 30% polyester fleece.,FALSE,FALSE,FALSE,3
Water Bottle,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/nalgene_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/nalgene_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/nalgene_3.jpg~,5/22/2019,15,Fill size: 16 oz,"Hydration station.
What it is: Originally made for Glossier Seattle, our Nalgene Water Bottle quickly became a fan favorite—so we decided to bring it back for good! We love it for a bunch of reasons: the just-right 16 oz. size, the narrow mouth (easy drinking, less spilling), and handy loop top. Plus, it’s durable, BPA free, and lightweight, making it the perfect partner for long hikes or road trips (or just trips to your sofa). In dark green, with a G logo and floral graphic. Dimensions: Height (in): 7"", Diameter (in): 3.25"", Weight (oz): 3.75",Materials: 100% Polycarbonate,FALSE,FALSE,FALSE,3
Market Bag,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/market_bag_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/market_bag_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/market_bag_3.jpg~,2/1/2023,14,,"Grab and go.
What it is: A Glossier-pink, netted bag that makes the perfect, take-everywhere companion for your next farmer’s market or beach trip. Lightweight and sized just right to take everywhere, but durable enough to tote home that produce haul. Goodbye, single-use grocery bags!",Materials: 100% Cotton Twill,FALSE,TRUE,FALSE,3
Sunshine Yellow Duffel Bag,,,https://cdn.shopify.com/s/files/1/0627/9164/7477/products/01_Duffel_2000x.jpg?v=1656604701~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/02_Duffel_2000x.jpg?v=1656604701~https://cdn.shopify.com/s/files/1/0627/9164/7477/products/05_Duffel_2000x.jpg?v=1656604701~,7/17/2019,20,"Dimensions: 18"" x 10"" x 10""","It’s in the bag.
What it is: By popular demand, our duffel bag is back! With a zippered main compartment and front pocket (plus an adjustable, detachable shoulder strap), it’s roomy enough for all your weekend-getaway or picnic-supply-schlepping needs. In a sunshine yellow shade, stamped with our signature Glossier logo.",Materials: 100% polyester,FALSE,FALSE,FALSE,3
Sneaker White Duffel Bag,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/white_duffel_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/white_duffel_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/white_duffel_3.jpg~,9/8/2020,20,"Dimensions: 18"" x 10"" x 10""","It’s in the bag.
What it is: Carry it all-with a zippered main compartment and front pocket (plus an adjustable, detachable shoulder strap for hands-free carrying), it’s roomy enough for all your weekend-getaway or picnic-supply-schlepping needs. In a crisp white shade, stamped with our signature Glossier logo.",Materials: 100% polyester,FALSE,TRUE,TRUE,3
You Look Good Mirror,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/pocket_mirror_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/pocket_mirror_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/pocket_mirror_3.jpg~,12/5/2018,10,"3.25"" diameter","For whenever you need a nice compliment.
What it is: We originally made this for the holidays back in 2018, and since then our inbox has been filled with requests for “the little you look good mirror.” What choice did we have but to bring it back?

On the front you’ll find our favorite daily affirmation, and the back is pink acrylic and features our signature G logo

Palm-sized, pocket-sized, fun-sized, fits-in-your-pink-pouch-sized, whatever you call it—it’s 3.25” in diameter, cute and easy to take with you

It comes in a 100% cotton, drawstring pouch to keep your mirror safe from dust and free-range purse lipstick (or repurpose it for jewelry and loose change storage)","Acrylic-backed glass mirror, 100% cotton pouch",FALSE,TRUE,FALSE,3
G Pal Scarf,,,https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/glossier_scarf_1.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/glossier_scarf_2.jpg~https://gfimages.s3.us-east-2.amazonaws.com/glossiWear/glossier_scarf_3.jpg~,12/2/2020,15, 31-inch square,"That’s a wrap!
What it is: This scarf is bringing fancy back (but only for a *very* limited time). Originally part of our 2020 holiday collection, it’s a silky-satin (but 100% vegan!) fabric, perfect for tying around your shoulders, your hair, your bag strap or anything else you think needs a touch of luxe.",Materials: 100% Polyester Satin Chiffon,FALSE,TRUE,FALSE,3
